flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG180,TRIP028,DRV189,2024-02-06 06:00:04,4,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG095,TRIP013,DRV096,2024-02-06 06:29:29,1769,moderate_event,low,0.05,0.43,0.2,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG171,TRIP026,DRV024,2024-02-06 06:29:57,1797,moderate_event,low,0.39,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG040,TRIP005,DRV206,2024-02-06 06:29:58,1798,sustained_stress,low,0.05,0.74,0.33,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG015,TRIP002,DRV188,2024-02-06 07:22:00,420,harsh_braking,medium,0.75,0.55,0.67,Sudden aggressive vehicle motion detected.,Motion: harsh_brake | Audio: loud
FLAG014,TRIP002,DRV188,2024-02-06 07:22:00,420,moderate_event,low,0.05,0.55,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG016,TRIP002,DRV188,2024-02-06 07:22:30,450,harsh_braking,medium,1.0,0.05,0.62,Sudden aggressive vehicle motion detected.,Motion: harsh_brake | Audio: normal
FLAG017,TRIP002,DRV188,2024-02-06 07:22:30,450,harsh_braking,high,1.0,0.68,0.87,Sudden aggressive vehicle motion detected.,Motion: harsh_brake | Audio: very_loud
FLAG019,TRIP002,DRV188,2024-02-06 07:23:00,480,conflict_moment,high,1.0,0.9,0.96,Combined signal: aggressive motion + very loud cabin audio detected.,Motion: harsh_brake | Audio: argument
FLAG018,TRIP002,DRV188,2024-02-06 07:23:00,480,harsh_braking,medium,1.0,0.05,0.62,Sudden aggressive vehicle motion detected.,Motion: harsh_brake | Audio: normal
FLAG020,TRIP002,DRV188,2024-02-06 07:23:30,510,moderate_event,medium,0.68,0.05,0.43,Moderate driving stress pattern detected.,Motion: moderate_brake | Audio: normal
FLAG021,TRIP002,DRV188,2024-02-06 07:23:30,510,audio_spike,high,0.68,0.89,0.76,Very loud cabin audio spike detected.,Motion: moderate_brake | Audio: argument
FLAG022,TRIP002,DRV188,2024-02-06 07:24:00,540,moderate_event,low,0.37,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG023,TRIP002,DRV188,2024-02-06 07:24:00,540,sustained_stress,medium,0.37,0.7,0.5,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG070,TRIP010,DRV145,2024-02-06 19:22:00,1020,moderate_event,medium,0.68,0.05,0.43,Moderate driving stress pattern detected.,Motion: moderate_brake | Audio: normal
FLAG071,TRIP010,DRV145,2024-02-06 19:22:00,1020,moderate_event,medium,0.68,0.52,0.62,Moderate driving stress pattern detected.,Motion: moderate_brake | Audio: loud
FLAG073,TRIP010,DRV145,2024-02-06 19:22:30,1050,harsh_braking,high,0.95,0.67,0.84,Sudden aggressive vehicle motion detected.,Motion: harsh_brake | Audio: very_loud
FLAG072,TRIP010,DRV145,2024-02-06 19:22:30,1050,harsh_braking,medium,0.95,0.05,0.59,Sudden aggressive vehicle motion detected.,Motion: harsh_brake | Audio: normal
FLAG075,TRIP010,DRV145,2024-02-06 19:23:00,1080,conflict_moment,high,1.0,0.89,0.96,Combined signal: aggressive motion + very loud cabin audio detected.,Motion: harsh_brake | Audio: argument
FLAG074,TRIP010,DRV145,2024-02-06 19:23:00,1080,harsh_braking,medium,1.0,0.05,0.62,Sudden aggressive vehicle motion detected.,Motion: harsh_brake | Audio: normal
FLAG077,TRIP010,DRV145,2024-02-06 19:23:30,1110,conflict_moment,high,0.82,0.92,0.86,Combined signal: aggressive motion + very loud cabin audio detected.,Motion: harsh_brake | Audio: argument
FLAG076,TRIP010,DRV145,2024-02-06 19:23:30,1110,audio_spike,medium,0.05,0.92,0.4,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG079,TRIP010,DRV145,2024-02-06 19:24:00,1140,sustained_stress,medium,0.5,0.77,0.61,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG078,TRIP010,DRV145,2024-02-06 19:24:00,1140,moderate_event,low,0.5,0.05,0.32,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG080,TRIP010,DRV145,2024-02-06 19:24:30,1170,sustained_stress,low,0.05,0.67,0.3,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
